sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,no_sale_com,no_sale_prod,onix_annoucement_date,onix_availabilitycode,onix_browse_inside,onix_category,onix_contributors_key,onix_contributors_list,onix_contributor_author,onix_contributor_editor,onix_contributor_forwardby,onix_contributor_inhouseeditor,onix_contributor_translator,onix_ean13,onix_ebook_amazon,onix_ebook_apple,onix_ebook_google,onix_ebook_kobo,onix_ebook_nook,onix_format,onix_format_description,onix_height,onix_illustrations,onix_imprint,onix_news_reviews,onix_numberofpages,onix_onsaledate,onix_oos_message,onix_packquantity,onix_product_family,onix_publicationdate,onix_raw_availabilitycode,onix_sortdate,onix_sorttitle,onix_subtitle,onix_suppliername,onix_width,options_container,package_id,page_layout,price,required_options,roost_free_projects,shambhala_extras,shambhala_product_message,sham_topic,shipping_qty,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,subtitle,sub_title,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,volume_weight,weight,zen_about_artist,zen_artist_firstname,zen_artist_lastname,zen_artist_life,zen_dimensions,zen_display_description,zen_forsale,zen_purchase_ref,zen_scroll_notes,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
9781590309650,,Default,downloadable,Books,Shambhala Catalog,base,,,,2013-02-14 00:15:19,,,,,"<p>The inspirational teachings in this collection show that the real way of the warrior is based on compassion, wisdom, fearlessness, and love of nature. The teachings are drawn from the talks and writings of Morihei Ueshiba, founder of the popular Japanese martial art of Aikido, a mind-body discipline he called the &ldquo;Art of Peace,&rdquo; which offers a nonviolent way to victory in the face of conflict. Ueshiba believed that Aikido principles could be applied to all the challenges we face in life&mdash;in personal and business relationships, and in our interactions with society.  </p><p>1 hour</p>",,,1,/t/h/the-art-of-peace_9781590309650.png,,,,,,,,,Use config,Use config,The Art of Peace,,,,No,,Available,,PHILOSOPHY / Eastern,Stevens|Ueshiba|,"<dt>Edited by</dt><dd>John Stevens</dd>
<dt>By</dt><dd>Morihei Ueshiba</dd>
",<li>Morihei Ueshiba</li>,<li>John Stevens</li>,,,,9781590309650,,,,,,MP3,,,,Shambhala Publications,<p>&quot;Poetic and profound. This collection offers a treasure trove of insights into the human adventure! &quot;&mdash;<i>Spirituality and Practice</i></p>,,10/19/2010,OUT OF STOCK: Available for back-order.,,1287,,20,20101019,Art of Peace,,,,Block after Info Column,,,7.95,0,,,"<p><span style=""text-decoration: underline;""><span style=""font-size: small;""><a href=""http://www.shambhala.com/media/wysiwyg/audio_samples/Art%20of%20Peace_Lloyd%20James%20(clip).mp3"" target=""_blank""><img src=""http://www.shambhala.com/media/wysiwyg/audioicon.gif"" alt="""" /> Listen to an audio sample.</a></span></span></p>",,,This is a short description,no_selection,,,,,1,,,5,/t/h/the-art-of-peace_9781590309650-2.png,,2016-10-24 16:30:28,the-art-of-peace,the-art-of-peace-2948.html,4,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,82,/t/h/the-art-of-peace_9781590309650-2.png,,3,0
,,,,Formats/Audiobooks,Shambhala Catalog,base_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,/t/h/the-art-of-peace_9781590309650.png,,4,0
,,,,Authors/U-Z/Morihei Ueshiba,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Formats/Audiobooks/MP3s,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9781611801187,,Default,downloadable,Books,Shambhala Catalog,base,,,,2013-02-14 00:15:29,,,,,"<p>Compiled more than two thousand years ago, the <i>Art of War</i> is still perhaps the most prestigious and influential book of strategy in the world today. A study of the anatomy of forces in conflict, it has been discovered by modern business people, who understand the principles it contains are as useful for understanding the interactions of modern corporations as they are for understanding the tactics of ancient Chinese armies. This audio edition, based on the best-selling translation by Thomas Cleary, is read by acclaimed actor and narrator Lloyd James.  </p><p>2 hours</p>",,,1,/9/7/9781611801187.png,,,,,,,,,Use config,Use config,The Art of War,,,,No,,Available,,PHILOSOPHY / Eastern,Cleary|Tzu|Cleary|James|,"<dt>Translated by</dt><dd>Thomas Cleary</dd>
<dt>By</dt><dd>Sun Tzu</dd>
<dt>By</dt><dd>Thomas Cleary</dd>
<dt>Read by</dt><dd>Lloyd James</dd>
",<li>Sun Tzu</li><li>Thomas Cleary</li>,,,,<li>Thomas Cleary</li>,9781611801187,,,,,,MP3,,,13 four-color illustrations,Shambhala Publications,"<p>&quot;Thomas Cleary&#39;s translation of Sun Tzu&#39;s 2,000-year-old <i>Art of War </i>makes immediately relevant one of the greatest Chinese classical texts. There&#39;s not a dated maxim or vague prescription in it. &lsquo;To win without fighting is best,&rsquo; Sun Tzu said. For him, war was coeval with life. Absorb this book, and you can throw out all those contemporary books about management leadership. &quot;&mdash;<i>Newsweek</i></p>",,10/13/2009,OUT OF STOCK: Available for back-order.,,3417,,20,20091013,Art of War,,,,Block after Info Column,,,9.95,0,,,,,,This is a short description,no_selection,,,,,1,,,2,/9/7/9781611801187-2.png,,2016-07-11 16:30:04,the-art-of-war,the-art-of-war-2949.html,4,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,82,/9/7/9781611801187.png,,1,0
,,,,Formats/Audiobooks,Shambhala Catalog,base_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,/9/7/9781611801187-2.png,,2,0
,,,,Authors/A-F/Thomas Cleary,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Authors/O-T/Sun Tzu,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Formats/Audiobooks/MP3s,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9781590309773,,Default,downloadable,Books,Shambhala Catalog,base,,,,2013-02-14 00:15:38,,,,,"<p>Here is one of the most influential texts on the subtle arts of confrontation and victory ever to emerge from Asia. Composed in 1643 by the famed duelist and undefeated samurai Miyamoto Musashi, <i>The Book of Five Rings</i> analyzes the process of struggle and mastery over conflict that underlies every level of human interaction. It is written not only for martial artists but for anyone who wants to apply the timeless principles of this text to their life. Thomas Cleary&rsquo;s translation is immediately accessible, with an introduction that presents the spiritual background of the warrior tradition. This audio edition features a reading of Thomas Cleary&#39;s groundbreaking translation in its entirety.</p><p>2&frac12; hours, unabridged.</p>",,,1,/9/7/9781590309773.png,,,,,,,,,Use config,Use config,The Book of Five Rings,,,,No,,Available,,SPORTS & RECREATION / Martial Arts & Self-Defense,Musashi|Cleary|,"<dt>By</dt><dd>Miyamoto Musashi</dd>
<dt>Translated by</dt><dd>Thomas Cleary</dd>
",<li>Miyamoto Musashi</li>,,,,<li>Thomas Cleary</li>,9781590309773,,,,,,MP3,,,50+ full color illustrations.,Shambhala Publications,<p>&quot;Embraced by many contemporary readers as a manual on how to succeed in life.&quot; &mdash;<i>Library Journal</i></p>,,10/19/2010,OUT OF STOCK: Available for back-order.,,1223,,20,20101019,Book of Five Rings,A Classic Text on the Japanese Way of the Sword,,,Block after Info Column,,,12.95,0,,,"<p><span style=""text-decoration: underline;""><span style=""font-size: small;""><a href=""http://www.shambhala.com/media/wysiwyg/audio_samples/Book%20of%205%20Rings%20Audio%20Sample.mp3"" target=""_blank""><img src=""http://www.shambhala.com/media/wysiwyg/audioicon.gif"" alt="""" /> Listen to an audio sample.</a></span></span></p>",,,This is a short description,no_selection,,,,,1,,,5,/9/7/9781590309773-2.png,,2017-01-04 16:30:04,the-book-of-five-rings,the-book-of-five-rings-2950.html,4,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,82,/9/7/9781590309773.png,,1,0
,,,,Formats/Audiobooks,Shambhala Catalog,base_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,/9/7/9781590309773-2.png,,2,0
,,,,Authors/A-F/Thomas Cleary,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Authors/G-N/Miyamoto Musashi,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Formats/Audiobooks/MP3s,Shambhala Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
